COMMAND,ZIPREF,ZIPCODE
"-z",1420,"01420"
"-z",1524,"01524"
"-z",1527,"01527"
"-z",1527,"01527"
"-z",1702,"01702"
"-z",1923,"01923"
"-z",2131,"02131"
"-z",2375,"02375"
"-z",2478,"02478"
"-z",2703,"02703"
"-z",2745,"02745"
"-z",2860,"02860"
"-z",2888,"02888"
"-z",2919,"02919"
"-z",3246,"03246"
"-z",3276,"03276"
"-z",3570,"03570"
"-z",3598,"03598"
"-z",3872,"03872"
"-z",4005,"04005"
"-z",4239,"04239"
"-z",4254,"04254"
"-z",4401,"04401"
"-z",4401,"04401"
"-z",4411,"04411"
"-z",4414,"04414"
"-z",4414,"04414"
"-z",4422,"04422"
"-z",4430,"04430"
"-z",4434,"04434"
"-z",4435,"04435"
"-z",4444,"04444"
"-z",4444,"04444"
"-z",4456,"04456"
"-z",4456,"04456"
"-z",4457,"04457"
"-z",4461,"04461"
"-z",4605,"04605"
"-z",4648,"04648"
"-z",4732,"04732"
"-z",4841,"04841"
"-z",4928,"04928"
"-z",4938,"04938"
"-z",4971,"04971"
"-z",5201,"05201"
"-z",5443,"05443"
"-z",5448,"05448"
"-z",5455,"05455"
"-z",5819,"05819"
"-z",5845,"05845"
"-z",5855,"05855"
"-z",6010,"06010"
"-z",6010,"06010"
"-z",6033,"06033"
"-z",6040,"06040"
"-z",6062,"06062"
"-z",6111,"06111"
"-z",6355,"06355"
"-z",6357,"06357"
"-z",6450,"06450"
"-z",6450,"06450"
"-z",6461,"06461"
"-z",6854,"06854"
"-z",7012,"07012"
"-z",7023,"07023"
"-z",7067,"07067"
"-z",7302,"07302"
"-z",7417,"07417"
"-z",7462,"07462"
"-z",7508,"07508"
"-z",7631,"07631"
"-z",7726,"07726"
"-z",7832,"07832"
"-z",7836,"07836"
"-z",7843,"07843"
"-z",8009,"08009"
"-z",8012,"08012"
"-z",8012,"08012"
"-z",8015,"08015"
"-z",8015,"08015"
"-z",8021,"08021"
"-z",8031,"08031"
"-z",8031,"08031"
"-z",8035,"08035"
"-z",8036,"08036"
"-z",8048,"08048"
"-z",8054,"08054"
"-z",8054,"08054"
"-z",8055,"08055"
"-z",8056,"08056"
"-z",8060,"08060"
"-z",8083,"08083"
"-z",8084,"08084"
"-z",8109,"08109"
"-z",8109,"08109"
"-z",8205,"08205"
"-z",8215,"08215"
"-z",8244,"08244"
"-z",8330,"08330"
"-z",8518,"08518"
"-z",8527,"08527"
"-z",8724,"08724"
"-z",8755,"08755"
"-z",8816,"08816"
"-z",8857,"08857"
"-z",8857,"08857"
"-z",8873,"08873"
"-z",8882,"08882"
"-z",10547,10547
"-z",10607,10607
"-z",10701,10701
"-z",10988,10988
"-z",11040,11040
"-z",11203,11203
"-z",11213,11213
"-z",11216,11216
"-z",11432,11432
"-z",11590,11590
"-z",11702,11702
"-z",11735,11735
"-z",11751,11751
"-z",11767,11767
"-z",11949,11949
"-z",11967,11967
"-z",11967,11967
"-z",12065,12065
"-z",12090,12090
"-z",12094,12094
"-z",12118,12118
"-z",12155,12155
"-z",12304,12304
"-z",12306,12306
"-z",12309,12309
"-z",12570,12570
"-z",12589,12589
"-z",12601,12601
"-z",12764,12764
"-z",12804,12804
"-z",13082,13082
"-z",13165,13165
"-z",13320,13320
"-z",13403,13403
"-z",13407,13407
"-z",13501,13501
"-z",13620,13620
"-z",13621,13621
"-z",13760,13760
"-z",13778,13778
"-z",13820,13820
"-z",13820,13820
"-z",13825,13825
"-z",13830,13830
"-z",13901,13901
"-z",13905,13905
"-z",14042,14042
"-z",14052,14052
"-z",14094,14094
"-z",14094,14094
"-z",14111,14111
"-z",14129,14129
"-z",14171,14171
"-z",14222,14222
"-z",14224,14224
"-z",14456,14456
"-z",14468,14468
"-z",14622,14622
"-z",14701,14701
"-z",14743,14743
"-z",14760,14760
"-z",14760,14760
"-z",14760,14760
"-z",14760,14760
"-z",14843,14843
"-z",14883,14883
"-z",15001,15001
"-z",15001,15001
"-z",15015,15015
"-z",15019,15019
"-z",15068,15068
"-z",15071,15071
"-z",15074,15074
"-z",15089,15089
"-z",15089,15089
"-z",15120,15120
"-z",15132,15132
"-z",15145,15145
"-z",15147,15147
"-z",15211,15211
"-z",15217,15217
"-z",15221,15221
"-z",15229,15229
"-z",15235,15235
"-z",15235,15235
"-z",15433,15433
"-z",15444,15444
"-z",15473,15473
"-z",15541,15541
"-z",15601,15601
"-z",15613,15613
"-z",15613,15613
"-z",15632,15632
"-z",15642,15642
"-z",15656,15656
"-z",15656,15656
"-z",15656,15656
"-z",15666,15666
"-z",15701,15701
"-z",15801,15801
"-z",15825,15825
"-z",15868,15868
"-z",15906,15906
"-z",15921,15921
"-z",15928,15928
"-z",15931,15931
"-z",15931,15931
"-z",15936,15936
"-z",15944,15944
"-z",15963,15963
"-z",16002,16002
"-z",16063,16063
"-z",16105,16105
"-z",16117,16117
"-z",16117,16117
"-z",16137,16137
"-z",16148,16148
"-z",16201,16201
"-z",16240,16240
"-z",16254,16254
"-z",16262,16262
"-z",16335,16335
"-z",16354,16354
"-z",16365,16365
"-z",16428,16428
"-z",16441,16441
"-z",16502,16502
"-z",16506,16506
"-z",16510,16510
"-z",16601,16601
"-z",16602,16602
"-z",16680,16680
"-z",16923,16923
"-z",17025,17025
"-z",17036,17036
"-z",17042,17042
"-z",17055,17055
"-z",17268,17268
"-z",17331,17331
"-z",17339,17339
"-z",17364,17364
"-z",17370,17370
"-z",17408,17408
"-z",17540,17540
"-z",17543,17543
"-z",17543,17543
"-z",17557,17557
"-z",17602,17602
"-z",17603,17603
"-z",17603,17603
"-z",17737,17737
"-z",17821,17821
"-z",17842,17842
"-z",17856,17856
"-z",18042,18042
"-z",18042,18042
"-z",18045,18045
"-z",18103,18103
"-z",18249,18249
"-z",18249,18249
"-z",18407,18407
"-z",18424,18424
"-z",18640,18640
"-z",18707,18707
"-z",18850,18850
"-z",18853,18853
"-z",18940,18940
"-z",18944,18944
"-z",18977,18977
"-z",19053,19053
"-z",19053,19053
"-z",19067,19067
"-z",19104,19104
"-z",19115,19115
"-z",19115,19115
"-z",19121,19121
"-z",19124,19124
"-z",19135,19135
"-z",19144,19144
"-z",19149,19149
"-z",19152,19152
"-z",19152,19152
"-z",19341,19341
"-z",19344,19344
"-z",19406,19406
"-z",19475,19475
"-z",19510,19510
"-z",19526,19526
"-z",19543,19543
"-z",19604,19604
"-z",19606,19606
"-z",19701,19701
"-z",19703,19703
"-z",19707,19707
"-z",19805,19805
"-z",19952,19952
"-z",20032,20032
"-z",20105,20105
"-z",20136,20136
"-z",20147,20147
"-z",20170,20170
"-z",20171,20171
"-z",20176,20176
"-z",20653,20653
"-z",20712,20712
"-z",20716,20716
"-z",20782,20782
"-z",20904,20904
"-z",21009,21009
"-z",21014,21014
"-z",21014,21014
"-z",21061,21061
"-z",21117,21117
"-z",21122,21122
"-z",21136,21136
"-z",21206,21206
"-z",21208,21208
"-z",21228,21228
"-z",21234,21234
"-z",21629,21629
"-z",21771,21771
"-z",21911,21911
"-z",22030,22030
"-z",22043,22043
"-z",22153,22153
"-z",22181,22181
"-z",22191,22191
"-z",22193,22193
"-z",22310,22310
"-z",22401,22401
"-z",22407,22407
"-z",22438,22438
"-z",22448,22448
"-z",22554,22554
"-z",22554,22554
"-z",22655,22655
"-z",22802,22802
"-z",22841,22841
"-z",22901,22901
"-z",23024,23024
"-z",23060,23060
"-z",23061,23061
"-z",23111,23111
"-z",23185,23185
"-z",23220,23220
"-z",23228,23228
"-z",23306,23306
"-z",23320,23320
"-z",23320,23320
"-z",23321,23321
"-z",23322,23322
"-z",23323,23323
"-z",23325,23325
"-z",23358,23358
"-z",23451,23451
"-z",23453,23453
"-z",23454,23454
"-z",23454,23454
"-z",23454,23454
"-z",23462,23462
"-z",23464,23464
"-z",23502,23502
"-z",23513,23513
"-z",23602,23602
"-z",23602,23602
"-z",23606,23606
"-z",23608,23608
"-z",23666,23666
"-z",23805,23805
"-z",23868,23868
"-z",24012,24012
"-z",24014,24014
"-z",24015,24015
"-z",24016,24016
"-z",24018,24018
"-z",24018,24018
"-z",24018,24018
"-z",24018,24018
"-z",24018,24018
"-z",24054,24054
"-z",24060,24060
"-z",24060,24060
"-z",24060,24060
"-z",24060,24060
"-z",24073,24073
"-z",24104,24104
"-z",24134,24134
"-z",24201,24201
"-z",24314,24314
"-z",24502,24502
"-z",24502,24502
"-z",24502,24502
"-z",24550,24550
"-z",24639,24639
"-z",24641,24641
"-z",24910,24910
"-z",25303,25303
"-z",25404,25404
"-z",25427,25427
"-z",25545,25545
"-z",25621,25621
"-z",25962,25962
"-z",26062,26062
"-z",26062,26062
"-z",26201,26201
"-z",26764,26764
"-z",27011,27011
"-z",27011,27011
"-z",27030,27030
"-z",27043,27043
"-z",27048,27048
"-z",27106,27106
